"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Atp6",0,65.7922322035455,0.999,0.988,0,"0","mt-Atp6"
"mt-Co3",0,54.4075895038599,1,0.991,0,"0","mt-Co3"
"mt-Co1",0,21.251804350737,1,0.992,0,"0","mt-Co1"
"Cd55",0,3.31711305013105,0.62,0.252,0,"0","Cd55"
"Cd79a",0,3.02438002039452,0.999,0.446,0,"0","Cd79a"
"Ralgps2",0,1.53589916934287,0.726,0.373,0,"0","Ralgps2"
"Parp1",0,1.20034357715929,0.4,0.233,0,"0","Parp1"
"Fcer2a",0,1.10812410823876,0.647,0.199,0,"0","Fcer2a"
"Fchsd2",0,1.06564790779774,0.471,0.213,0,"0","Fchsd2"
"Ciita",0,0.960609426419918,0.425,0.158,0,"0","Ciita"
"Man1a",0,0.916036863157653,0.46,0.25,0,"0","Man1a"
"Abhd17b",0,0.886064363783633,0.466,0.263,0,"0","Abhd17b"
"Zfp318",0,0.873017075646177,0.371,0.155,0,"0","Zfp318"
"Hvcn1",0,0.855456087801981,0.536,0.266,0,"0","Hvcn1"
"Ptp4a3",0,0.810586561383591,0.576,0.365,0,"0","Ptp4a3"
"Serpinb1a",0,0.763537273825415,0.353,0.147,0,"0","Serpinb1a"
"Fcrl1",0,0.754020871017471,0.313,0.149,0,"0","Fcrl1"
"Lmo2",0,0.745819494593794,0.337,0.125,0,"0","Lmo2"
"Snx2",0,0.730526516955098,0.498,0.278,0,"0","Snx2"
"Pxk",0,0.670518189625263,0.421,0.217,0,"0","Pxk"
"Cd37",0,0.639453748722094,0.899,0.62,0,"0","Cd37"
"Stap1",0,0.637304653808106,0.377,0.197,0,"0","Stap1"
"Pxdc1",0,0.634275543740324,0.271,0.098,0,"0","Pxdc1"
"Btla",0,0.63001211548622,0.36,0.183,0,"0","Btla"
"Scd1",0,0.597954065716136,0.497,0.238,0,"0","Scd1"
"H2-DMb2",0,0.556955794225548,0.761,0.32,0,"0","H2-DMb2"
"March1",0,0.496544813644975,0.258,0.1,0,"0","March1"
"Rasgrp3",0,0.492021857705495,0.233,0.079,0,"0","Rasgrp3"
"Hhex",0,0.478425613730712,0.262,0.119,0,"0","Hhex"
"Cnn3",0,0.464931838500333,0.3,0.146,0,"0","Cnn3"
"B3gnt5",0,0.460495211995456,0.324,0.137,0,"0","B3gnt5"
"Gga2",0,0.446371798107575,0.337,0.158,0,"0","Gga2"
"Gm15675",0,0.400350612293741,0.209,0.073,0,"0","Gm15675"
"Lrrk2",0,0.399248347639338,0.253,0.111,0,"0","Lrrk2"
"H2-Oa",0,0.377256691879142,0.501,0.238,0,"0","H2-Oa"
"Plcg2",0,0.291667160972492,0.359,0.186,0,"0","Plcg2"
"Cacna1i",0,0.2717737873517,0.138,0.039,0,"0","Cacna1i"
"Pax5",0,-0.32295414048341,0.529,0.257,0,"0","Pax5"
"Blnk",0,-0.340814934904695,0.424,0.223,0,"0","Blnk"
"Slc12a7",0,-0.361459223653538,0.011,0.116,0,"0","Slc12a7"
"Cd96",0,-0.384160370829465,0.001,0.106,0,"0","Cd96"
"Ikzf3",0,-0.385222493996744,0.571,0.359,0,"0","Ikzf3"
"Themis",0,-0.434766951023601,0.001,0.113,0,"0","Themis"
"Znrf1",0,-0.494409517447378,0.031,0.157,0,"0","Znrf1"
"Mllt3",0,-0.519435763108733,0.027,0.154,0,"0","Mllt3"
"Serp1",0,-0.527451538279274,0.719,0.446,0,"0","Serp1"
"Ramp1",0,-0.540540512462164,0.001,0.11,0,"0","Ramp1"
"Il6st",0,-0.548731021782242,0.012,0.142,0,"0","Il6st"
"Ipcef1",0,-0.551215979609748,0.019,0.14,0,"0","Ipcef1"
"Ptpn22",0,-0.570131324410248,0.036,0.18,0,"0","Ptpn22"
"Ikbke",0,-0.570683767889779,0.015,0.156,0,"0","Ikbke"
"Pou2f2",0,-0.572766911758497,0.612,0.372,0,"0","Pou2f2"
"Als2cl",0,-0.590015454122927,0.001,0.138,0,"0","Als2cl"
"Otulinl",0,-0.608423021473545,0.018,0.163,0,"0","Otulinl"
"Itm2c",0,-0.661782206806166,0.014,0.14,0,"0","Itm2c"
"Zap70",0,-0.671977509581932,0.003,0.153,0,"0","Zap70"
"Kcnn4",0,-0.692543995793306,0.016,0.178,0,"0","Kcnn4"
"Slc9a3r1",0,-0.705325867643625,0.117,0.268,0,"0","Slc9a3r1"
"Bcl11a",0,-0.741217030173624,0.459,0.221,0,"0","Bcl11a"
"Cyp4f18",0,-0.754965152240859,0.286,0.128,0,"0","Cyp4f18"
"Fam189b",0,-0.781267088526844,0.024,0.203,0,"0","Fam189b"
"Srpk1",0,-0.809863292113718,0.128,0.294,0,"0","Srpk1"
"Syk",0,-0.810869425313125,0.615,0.309,0,"0","Syk"
"Il6ra",0,-0.815506271986475,0.047,0.187,0,"0","Il6ra"
"Klk8",0,-0.835239760527552,0.001,0.157,0,"0","Klk8"
"Inpp4b",0,-0.852819121454569,0.067,0.212,0,"0","Inpp4b"
"Kbtbd11",0,-0.855671387552275,0.066,0.219,0,"0","Kbtbd11"
"Fcrla",0,-0.865713321673233,0.502,0.231,0,"0","Fcrla"
"Vsir",0,-0.894786897530667,0.017,0.181,0,"0","Vsir"
"Gtf2i",0,-0.91537844958017,0.074,0.244,0,"0","Gtf2i"
"Txk",0,-0.939997191861251,0.016,0.178,0,"0","Txk"
"Tecpr1",0,-1.04348809472146,0.11,0.277,0,"0","Tecpr1"
"Serinc3",0,-1.05098240520403,0.702,0.481,0,"0","Serinc3"
"Scp2",0,-1.08430470830125,0.211,0.378,0,"0","Scp2"
"Fam78a",0,-1.10861213243641,0.052,0.21,0,"0","Fam78a"
"Sh2d1a",0,-1.1105530474051,0.001,0.116,0,"0","Sh2d1a"
"Lcp2",0,-1.12347935857693,0.003,0.183,0,"0","Lcp2"
"Swap70",0,-1.12628086925284,0.515,0.257,0,"0","Swap70"
"Itk",0,-1.13180734277057,0.005,0.227,0,"0","Itk"
"Prkcq",0,-1.1349965098988,0.002,0.221,0,"0","Prkcq"
"Nsg2",0,-1.14120445531201,0.002,0.2,0,"0","Nsg2"
"Dnajc15",0,-1.31689786092124,0.061,0.218,0,"0","Dnajc15"
"Gm2682",0,-1.33178143399625,0.002,0.214,0,"0","Gm2682"
"Rinl",0,-1.34495454572431,0.032,0.262,0,"0","Rinl"
"Sept9",0,-1.36074939846135,0.072,0.272,0,"0","Sept9"
"Utrn",0,-1.36181485057822,0.062,0.269,0,"0","Utrn"
"Leprotl1",0,-1.36651189416929,0.048,0.311,0,"0","Leprotl1"
"Fyn",0,-1.48028768750618,0.093,0.287,0,"0","Fyn"
"Cd27",0,-1.51792566427805,0.004,0.213,0,"0","Cd27"
"Cd28",0,-1.55949677348269,0.001,0.167,0,"0","Cd28"
"Peli1",0,-1.59420375237412,0.183,0.344,0,"0","Peli1"
"Gm30211",0,-1.6340583518417,0.373,0.149,0,"0","Gm30211"
"Cd6",0,-1.64034766832627,0.001,0.165,0,"0","Cd6"
"Spn",0,-1.65220642022932,0.014,0.214,0,"0","Spn"
"Pdcd4",0,-1.68819937027424,0.189,0.365,0,"0","Pdcd4"
"Rpl7",0,-1.8367798468084,0.959,0.956,0,"0","Rpl7"
"Cd247",0,-1.84812456361389,0.005,0.251,0,"0","Cd247"
"Ighd",0,-1.88287736734237,0.908,0.334,0,"0","Ighd"
"Ebf1",0,-1.8866099046866,0.905,0.395,0,"0","Ebf1"
"Saraf",0,-1.91685621314207,0.03,0.297,0,"0","Saraf"
"Selenop",0,-2.03397448043573,0.045,0.184,0,"0","Selenop"
"Cd5",0,-2.22889285229979,0.003,0.206,0,"0","Cd5"
"Skap1",0,-2.26457109228911,0.005,0.317,0,"0","Skap1"
"Arl4c",0,-2.37601285970857,0.007,0.281,0,"0","Arl4c"
"Prkch",0,-2.41597585878982,0.002,0.235,0,"0","Prkch"
"Dgka",0,-2.42980922556764,0.224,0.411,0,"0","Dgka"
"Myl12a",0,-2.4549333753707,0.424,0.587,0,"0","Myl12a"
"Capg",0,-2.54832382213244,0.443,0.263,0,"0","Capg"
"Atp5j2",0,-2.70888275924834,0.516,0.656,0,"0","Atp5j2"
"Bcl11b",0,-2.76250855855634,0.003,0.31,0,"0","Bcl11b"
"Pabpc1",0,-2.82268024028766,0.667,0.794,0,"0","Pabpc1"
"Actn1",0,-2.89391060602475,0.007,0.286,0,"0","Actn1"
"Siglecg",0,-2.92628390044524,0.516,0.264,0,"0","Siglecg"
"Slfn1",0,-2.93181265033301,0.008,0.144,0,"0","Slfn1"
"Unc93b1",0,-2.96926689688415,0.581,0.331,0,"0","Unc93b1"
"Sept1",0,-3.00013245350537,0.377,0.566,0,"0","Sept1"
"Ctsw",0,-3.08800820119315,0.001,0.161,0,"0","Ctsw"
"Emb",0,-3.09283702498165,0.007,0.293,0,"0","Emb"
"Ldha",0,-3.10942135317856,0.227,0.446,0,"0","Ldha"
"Ms4a6b",0,-3.20860332700107,0.049,0.353,0,"0","Ms4a6b"
"Cd81",0,-3.28387854115523,0.493,0.277,0,"0","Cd81"
"H2-DMb1",0,-3.59868818573404,0.304,0.127,0,"0","H2-DMb1"
"Cd83",0,-3.71203709407326,0.316,0.139,0,"0","Cd83"
"Blk",0,-3.71860041330774,0.573,0.282,0,"0","Blk"
"Klrd1",0,-3.97847613813203,0.001,0.124,0,"0","Klrd1"
"Ctsd",0,-4.01843916386819,0.052,0.266,0,"0","Ctsd"
"Psme1",0,-4.17961585199657,0.507,0.654,0,"0","Psme1"
"Ly86",0,-4.21786372975004,0.596,0.302,0,"0","Ly86"
"Atp5h",0,-4.2614387393645,0.586,0.729,0,"0","Atp5h"
"Rpl22",0,-4.31075380817305,0.981,0.967,0,"0","Rpl22"
"Cd4",0,-4.46479964094757,0.001,0.163,0,"0","Cd4"
"Chd3",0,-4.50451242010264,0.215,0.483,0,"0","Chd3"
"Itgal",0,-4.58323490198491,0.143,0.304,0,"0","Itgal"
"Naca",0,-4.63113865288392,0.817,0.872,0,"0","Naca"
"Lck",0,-4.79675542071215,0.044,0.454,0,"0","Lck"
"Lef1",0,-4.87617377524452,0.012,0.338,0,"0","Lef1"
"Dtx1",0,-4.87691535514528,0.148,0.312,0,"0","Dtx1"
"Trac",0,-4.88788343102998,0.003,0.304,0,"0","Trac"
"Ms4a4c",0,-5.09675202986317,0.302,0.141,0,"0","Ms4a4c"
"Cd8a",0,-5.19556050960353,0.001,0.142,0,"0","Cd8a"
"Itgb2",0,-5.20905339650286,0.121,0.302,0,"0","Itgb2"
"Fcmr",0,-5.23686682677672,0.809,0.328,0,"0","Fcmr"
"Rps17",0,-5.2746645548969,0.734,0.807,0,"0","Rps17"
"Rnase6",0,-5.47069117921696,0.37,0.182,0,"0","Rnase6"
"Atp1b3",0,-5.62452928215673,0.122,0.435,0,"0","Atp1b3"
"Icosl",0,-5.63428756958614,0.308,0.109,0,"0","Icosl"
"Rpl36al",0,-6.00417913821791,0.8,0.864,0,"0","Rpl36al"
"Tcf7",0,-6.00620094746248,0.003,0.356,0,"0","Tcf7"
"Mzb1",0,-6.22426727261094,0.475,0.256,0,"0","Mzb1"
"Dapl1",0,-6.26138202412144,0.001,0.141,0,"0","Dapl1"
"Napsa",0,-6.32835208547767,0.654,0.333,0,"0","Napsa"
"Mrpl33",0,-6.35172839364962,0.181,0.347,0,"0","Mrpl33"
"Selplg",0,-6.37171723475016,0.111,0.434,0,"0","Selplg"
"Pycard",0,-6.39866325546526,0.13,0.289,0,"0","Pycard"
"Ptpn18",0,-6.51511917507854,0.66,0.774,0,"0","Ptpn18"
"Ly6e",0,-6.63609990508884,0.991,0.861,0,"0","Ly6e"
"Lat",0,-6.87052677905885,0.008,0.417,0,"0","Lat"
"Rgs10",0,-6.94406734675691,0.007,0.269,0,"0","Rgs10"
"Fyb",0,-7.14017331121034,0.005,0.387,0,"0","Fyb"
"Rack1",0,-7.24683532120513,0.909,0.927,0,"0","Rack1"
"Rpl23a",0,-7.34375502478039,0.738,0.819,0,"0","Rpl23a"
"Cd3e",0,-7.47038723516368,0.004,0.438,0,"0","Cd3e"
"Ctsh",0,-7.54272098552013,0.51,0.234,0,"0","Ctsh"
"Rpl4",0,-7.7912765555934,0.858,0.888,0,"0","Rpl4"
"Ms4a1",0,-7.88986027747778,0.844,0.401,0,"0","Ms4a1"
"Cox4i1",0,-8.03743215598618,0.758,0.84,0,"0","Cox4i1"
"Smc4",0,-8.1972688340981,0.206,0.391,0,"0","Smc4"
"Il2rb",0,-8.29653459392516,0.001,0.143,0,"0","Il2rb"
